compound	modifier	head	transparent
television_shows	television	shows	True
television_show	television	show	True
television_viewer	television	viewer	True
television_work	television	work	True
test_case	test	case	True
test_division	test	division	True
theme_park	theme	park	False
think_tank	think	tank	False
threshold_issue	threshold	issue	True
thrilling_action	thrilling	action	True
time_bomb	time	bomb	True
time_frame	time	frame	False
time_limit	time	limit	True
time_line	time	line	False
time_machine	time	machine	True
time_scale	time	scale	True
time_span	time	span	True
time_trial	time	trial	False
time_zone	time	zone	True
title_character	title	character	True
toilet_paper	toilet	paper	True
toilet_seat	toilet	seat	True
top_dog	top	dog	False
top_notch	top	notch	False
touch_screen	touch	screen	True
tour_guide	tour	guide	True
town_centre	town	centre	True
town_center	town	center	True
track_selection	track	selection	True
trade_agreement	trade	agreement	True
trade_area	trade	area	True
trade_card	trade	card	True
trade_deal	trade	deal	True
train_crash	train	crash	True
train_interior	train	interior	True
training_members	training	members	True
training_member	training	member	True
tram_system	tram	system	True
transformation_industry	transformation	industry	True
translation_memory	translation	memory	True
translations_date	translations	date	True
translation_date	translation	date	True
transmission_shaft	transmission	shaft	True
transmission_system	transmission	system	True
transport_activity	transport	activity	True
trash_heap	trash	heap	True
trust_fund	trust	fund	False
trust_issues	trust	issues	True
trust_issue	trust	issue	True
tube_form	tube	form	True
turquoise_color	turquoise	color	True
twentieth_century	twentieth	century	True
twin_brothers	twin	brothers	True
twin_brother	twin	brother	True
twin_sons	twin	sons	True
twin_son	twin	son	True
umbrella_organization	umbrella	organization	False
umbrella_organisation	umbrella	organisation	False
umbrella_term	umbrella	term	False
unbroken_period	unbroken	period	True
undulating_course	undulating	course	True
universe_humans	universe	humans	True
universe_human	universe	human	True
user_interfaces	user	interfaces	True
user_interface	user	interface	True
vacuum_cleaner	vacuum	cleaner	False
vantage_point	vantage	point	True
vector_space	vector	space	True
vice_president	vice	president	True
video_circuit	video	circuit	True
video_clip	video	clip	True
video_club	video	club	True
video_game	video	game	True
video_history	video	history	True
video_output	video	output	True
video_tape	video	tape	True
village_community	village	community	True
village_development	village	development	True
visual_arts	visual	arts	True
visual_art	visual	art	True
voice_control	voice	control	True
voice_mail	voice	mail	True
voice_recognition	voice	recognition	True
volunteer_army	volunteer	army	True
war_effort	war	effort	True
waste_water	waste	water	True
water_molecule	water	molecule	True
water_park	water	park	False
water_pollution	water	pollution	True
water_resources	water	resources	True
water_resource	water	resource	True
water_sports	water	sports	True
water_sport	water	sport	True
water_transfer	water	transfer	True
wear_clothes	wear	clothes	True
wear_cloth	wear	cloth	True
web_application	web	application	True
web_forms	web	forms	True
web_form	web	form	True
web_page	web	page	True
web_site	web	site	False
wedding_feast	wedding	feast	True
wedding_preparations	wedding	preparations	True
wedding_preparation	wedding	preparation	True
wedding_ring	wedding	ring	True
weight_loss	weight	loss	True
west_part	west	part	True
west_side	west	side	True
wind_direction	wind	direction	True
wind_farm	wind	farm	False
wind_power	wind	power	True
wind_sensors	wind	sensors	True
wind_sensor	wind	sensor	True
winning_competitor	winning	competitor	True
wish_list	wish	list	True
wolf_pack	wolf	pack	False
women_dress	women	dress	True
woman_dress	woman	dress	True
word_order	word	order	True
word_processor	word	processor	False
work_colleague	work	colleague	True
worker_rights	worker	rights	True
worker_right	worker	right	True
world_champion	world	champion	True
world_record	world	record	False
world_tour	world	tour	True
world_view	world	view	True
wrestling_credentials	wrestling	credentials	True
wrestling_credential	wrestling	credential	True
wrestling_fan	wrestling	fan	True
wrestling_program	wrestling	program	True
wrestling_programme	wrestling	programme	True
writing_style	writing	style	True
writing_system	writing	system	True
youth_crime	youth	crime	True
youth_group	youth	group	True
youth_hostel	youth	hostel	True
youth_movement	youth	movement	True
youth_wing	youth	wing	False
zip_code	zip	code	False
